Linux 4.18.0-240.el8.x86_64 (dl360g10c) 	03/05/21 	_x86_64_	(24 CPU)

08:33:52          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
08:33:56      mpatha3    127.00      0.00 258272.00   2033.64      9.63     75.81      7.85     99.70
08:33:56      mpatha4    125.00      0.00 255944.00   2047.55      9.83     78.66      7.95     99.40
08:33:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57          sdc    384.00      0.00 392772.00   1022.84     25.37     66.56      2.59     99.50
08:33:57          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57          sde    385.00      0.00 393056.00   1020.92     25.40     66.50      2.57     99.10
08:33:57          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57       mpatha    768.00      0.00 785828.00   1023.21     50.82     66.68      1.30     99.60
08:33:57      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57      mpatha2    130.00      0.00 264968.00   2038.22      9.52     73.20      7.51     97.60
08:33:57      mpatha3    131.00      0.00 267352.00   2040.85     10.05     76.69      7.59     99.40
08:33:57      mpatha4    125.00      0.00 255556.00   2044.45     10.01     80.04      7.94     99.20
08:33:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58          sda      4.00      0.00    200.00     50.00      0.03      7.75      5.00      2.00
08:33:58         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58         sda4      4.00      0.00    200.00     50.00      0.03      7.75      5.00      2.00
08:33:58         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58          sdc    380.00      0.00 387888.00   1020.76     26.06     69.06      2.64    100.50
08:33:58          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58          sde    384.00      0.00 392192.00   1021.33     26.96     70.72      2.59     99.40
08:33:58          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58       mpatha    765.00      0.00 780080.00   1019.71     53.23     70.08      1.31    100.50
08:33:58      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58      mpatha2    133.00      0.00 268352.00   2017.68     10.30     77.45      7.11     94.60
08:33:58      mpatha3    128.00      0.00 260848.00   2037.88     10.49     81.94      7.77     99.40
08:33:58      mpatha4    136.00      0.00 278528.00   2048.00      9.76     71.79      7.31     99.40
08:33:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:59          sda      1.00      0.00     20.00     20.00      0.00      0.00      1.00      0.10
08:33:59         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:59         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:59         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:59         sda4      1.00      0.00     20.00     20.00      0.00      0.00      1.00      0.10
08:33:59         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:59          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
