Linux 4.18.0-240.el8.x86_64 (dl360g10c) 	03/05/21 	_x86_64_	(24 CPU)

12:06:55          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
12:06:59      mpatha3    116.00      0.00 236544.00   2039.17      5.84     50.34      8.28     96.10
12:06:59      mpatha4    124.00      0.00 253888.00   2047.48      6.28     50.68      7.53     93.40
12:06:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00          sdc    374.00      0.00 381528.00   1020.13     14.50     39.28      2.59     96.80
12:07:00          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00          sde    374.00      0.00 382212.00   1021.96     14.20     38.47      2.58     96.60
12:07:00          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00       mpatha    748.00      0.00 763740.00   1021.04     28.84     39.07      1.33     99.70
12:07:00      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00      mpatha2    122.00      0.00 247808.00   2031.21      6.21     50.87      7.93     96.70
12:07:00      mpatha3    125.00      0.00 254188.00   2033.50      6.01     48.12      7.74     96.80
12:07:00      mpatha4    123.00      0.00 251504.00   2044.75      5.92     48.15      7.85     96.50
12:07:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:01          sda      4.00      0.00    204.00     51.00      0.08     19.50     10.50      4.20
12:07:01         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:01         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:01         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:01         sda4      4.00      0.00    204.00     51.00      0.08     19.50     10.50      4.20
12:07:01         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:01          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:01          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:01          sdc    375.00      0.00 383684.00   1023.16     13.97     37.78      2.63     98.70
12:07:01          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:01          sde    376.00     12.00 381708.00   1015.21     13.92     37.55      2.58     97.00
12:07:01          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
